,Estimated Number of Cells,Mean Reads per Cell,Median Genes per Cell,Number of Reads,Valid Barcodes,Sequencing Saturation,Q30 Bases in Barcode,Q30 Bases in RNA Read,Q30 Bases in UMI,Reads Mapped to Genome,Reads Mapped Confidently to Genome,Reads Mapped Confidently to Intergenic Regions,Reads Mapped Confidently to Intronic Regions,Reads Mapped Confidently to Exonic Regions,Reads Mapped Confidently to Transcriptome,Reads Mapped Antisense to Gene,Fraction Reads in Cells,Total Genes Detected,Median UMI Counts per Cell,region,sample
0,14598,30105,1114,439471267,0.9079999999999999,0.375,0.9690000000000001,0.9470000000000001,0.963,0.871,0.831,0.231,0.528,0.073,0.18600000000000003,0.414,0.5589999999999999,17971,1545,cerebral_cortex,NMR1
1,23933,38528,1054,922085392,0.9,0.518,0.97,0.9440000000000001,0.9640000000000001,0.917,0.878,0.24100000000000002,0.56,0.077,0.19899999999999998,0.43799999999999994,0.5589999999999999,18479,1420,cerebral_cortex,NMR2
2,7626,281612,1581,2147575086,0.882,0.845,0.9690000000000001,0.9329999999999999,0.9640000000000001,0.899,0.8640000000000001,0.23399999999999999,0.547,0.083,0.23600000000000002,0.39399999999999996,0.439,18345,2354,hippocampus,NMR3
3,8660,107203,1224,928374135,0.8909999999999999,0.759,0.9690000000000001,0.9420000000000001,0.9640000000000001,0.878,0.84,0.23199999999999998,0.527,0.081,0.247,0.361,0.43700000000000006,18072,1724,hippocampus,NMR4
4,10000,201188,106,2011875667,0.9359999999999999,0.993,0.968,0.951,0.961,0.9440000000000001,0.9129999999999999,0.252,0.48100000000000004,0.179,0.568,0.091,0.45399999999999996,15284,115,midbrain,NMR5
5,10000,197071,86,1970706119,0.927,0.995,0.968,0.943,0.961,0.9420000000000001,0.907,0.249,0.48200000000000004,0.17600000000000002,0.5720000000000001,0.085,0.16699999999999998,14721,92,midbrain,NMR6
